player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,player_positions,preferred_foot
https://sofifa.com/player/158023/lionel-messi/210002,L. Messi,Lionel Andrés Messi Cuccittini,33,1987-06-24,170,72,Argentina,FC Barcelona,Spain Primera Division,93,93,"RW, ST, CF",Left
https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/210002,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,35,1985-02-05,187,83,Portugal,Juventus,Italian Serie A,92,92,"ST, LW",Right
https://sofifa.com/player/200389/jan-oblak/210002,J. Oblak,Jan Oblak,27,1993-01-07,188,87,Slovenia,Atlético Madrid,Spain Primera Division,91,93,GK,Right
https://sofifa.com/player/188545/robert-lewandowski/210002,R. Lewandowski,Robert Lewandowski,31,1988-08-21,184,80,Poland,FC Bayern München,German 1. Bundesliga,91,91,ST,Right
https://sofifa.com/player/190871/neymar-da-silva-santos-jr/210002,Neymar Jr,Neymar da Silva Santos Júnior,28,1992-02-05,175,68,Brazil,Paris Saint-Germain,French Ligue 1,91,91,"LW, CAM",Right
https://sofifa.com/player/192985/kevin-de-bruyne/210002,K. De Bruyne,Kevin De Bruyne,29,1991-06-28,181,70,Belgium,Manchester City,English Premier League,91,91,"CAM, CM",Right
https://sofifa.com/player/231747/kylian-mbappe/210002,K. Mbappé,Kylian Mbappé Lottin,21,1998-12-20,178,73,France,Paris Saint-Germain,French Ligue 1,90,95,"ST, LW, RW",Right
https://sofifa.com/player/192448/marc-andre-ter-stegen/210002,M. ter Stegen,Marc-André ter Stegen,28,1992-04-30,187,85,Germany,FC Barcelona,Spain Primera Division,90,93,GK,Right
https://sofifa.com/player/203376/virgil-van-dijk/210002,V. van Dijk,Virgil van Dijk,28,1991-07-08,193,92,Netherlands,Liverpool,English Premier League,90,91,CB,Right
https://sofifa.com/player/212831/alisson-ramses-becker/210002,Alisson,Alisson Ramsés Becker,27,1992-10-02,191,91,Brazil,Liverpool,English Premier League,90,91,GK,Right
https://sofifa.com/player/208722/sadio-mane/210002,S. Mané,Sadio Mané,28,1992-04-10,175,69,Senegal,Liverpool,English Premier League,90,90,LW,Right
https://sofifa.com/player/209331/mohamed-salah/210002,M. Salah,Mohamed Salah Ghaly,28,1992-06-15,175,71,Egypt,Liverpool,English Premier League,90,90,RW,Left
https://sofifa.com/player/192119/thibaut-courtois/210002,T. Courtois,Thibaut Courtois,28,1992-05-11,199,96,Belgium,Real Madrid,Spain Primera Division,89,90,GK,Left
https://sofifa.com/player/153079/sergio-aguero/210002,S. Agüero,Sergio Leonel Agüero del Castillo,32,1988-06-02,173,70,Argentina,Manchester City,English Premier League,89,89,ST,Right
https://sofifa.com/player/155862/sergio-ramos-garcia/210002,Sergio Ramos,Sergio Ramos García,34,1986-03-30,184,82,Spain,Real Madrid,Spain Primera Division,89,89,CB,Right
https://sofifa.com/player/165153/karim-benzema/210002,K. Benzema,Karim Benzema,32,1987-12-19,185,81,France,Real Madrid,Spain Primera Division,89,89,"CF, ST",Right
https://sofifa.com/player/167495/manuel-neuer/210002,M. Neuer,Manuel Neuer,34,1986-03-27,193,92,Germany,FC Bayern München,German 1. Bundesliga,89,89,GK,Right
https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/210002,Casemiro,Carlos Henrique Venancio Casimiro,28,1992-02-23,185,84,Brazil,Real Madrid,Spain Primera Division,89,89,CDM,Right
https://sofifa.com/player/210257/ederson-santana-de-moraes/210002,Ederson,Ederson Santana de Moraes,26,1993-08-17,188,86,Brazil,Manchester City,English Premier League,88,91,GK,Left
https://sofifa.com/player/202652/raheem-sterling/210002,R. Sterling,Raheem Shaquille Sterling,25,1994-12-08,170,69,England,Manchester City,English Premier League,88,90,"LW, RW",Right
https://sofifa.com/player/212622/joshua-kimmich/210002,J. Kimmich,Joshua Kimmich,25,1995-02-08,176,73,Germany,FC Bayern München,German 1. Bundesliga,88,90,"CDM, RB",Right
https://sofifa.com/player/202126/harry-kane/210002,H. Kane,Harry Kane,26,1993-07-28,188,89,England,Tottenham Hotspur,English Premier League,88,89,ST,Right
https://sofifa.com/player/211110/paulo-dybala/210002,P. Dybala,Paulo Bruno Exequiel Dybala,26,1993-11-15,177,75,Argentina,Juventus,Italian Serie A,88,89,"CF, CAM",Left
https://sofifa.com/player/162835/samir-handanovic/210002,S. Handanovič,Samir Handanovič,35,1984-07-14,193,92,Slovenia,Inter,Italian Serie A,88,88,GK,Right
https://sofifa.com/player/182521/toni-kroos/210002,T. Kroos,Toni Kroos,30,1990-01-04,183,76,Germany,Real Madrid,Spain Primera Division,88,88,CM,Right
https://sofifa.com/player/183277/eden-hazard/210002,E. Hazard,Eden Hazard,29,1991-01-07,175,74,Belgium,Real Madrid,Spain Primera Division,88,88,"LW, ST",Right
https://sofifa.com/player/201024/kalidou-koulibaly/210002,K. Koulibaly,Kalidou Koulibaly,29,1991-06-20,187,89,Senegal,Napoli,Italian Serie A,88,88,CB,Right
https://sofifa.com/player/215914/ngolo-kante/210002,N. Kanté,N'Golo Kanté,29,1991-03-29,168,70,France,Chelsea,English Premier League,88,88,"CDM, CM",Right
https://sofifa.com/player/233049/jadon-sancho/210002,J. Sancho,Jadon Sancho,20,2000-03-25,180,76,England,Borussia Dortmund,German 1. Bundesliga,87,93,"RM, LM, CAM",Right
https://sofifa.com/player/231281/trent-alexander-arnold/210002,T. Alexander-Arnold,Trent Alexander-Arnold,21,1998-10-07,180,69,England,Liverpool,English Premier League,87,92,RB,Right
https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/210002,Bruno Fernandes,Bruno Miguel Borges Fernandes,25,1994-09-08,179,69,Portugal,Manchester United,English Premier League,87,90,"CAM, CM",Right
https://sofifa.com/player/212218/aymeric-laporte/210002,A. Laporte,Aymeric Laporte,26,1994-05-27,189,85,France,Manchester City,English Premier League,87,90,CB,Left
https://sofifa.com/player/209499/fabio-henrique-tavares/210002,Fabinho,Fábio Henrique Tavares,26,1993-10-23,188,78,Brazil,Liverpool,English Premier League,87,89,CDM,Right
https://sofifa.com/player/216267/andrew-robertson/210002,A. Robertson,Andrew Robertson,26,1994-03-11,178,64,Scotland,Liverpool,English Premier League,87,89,LB,Left
